Share Class,Stack Order,# Shares,Price,LPMultiple,Participation,Convertible,Participation Cap
B: Aksenov,2,2737508,137,1.25,TRUE,FALSE,0
B: FS - Old,2,610311,137,1.25,TRUE,FALSE,0
B: FS - New,2,3843082,15.54,1.5,TRUE,FALSE,0
B: FS - New,2,643471,15.54,1.5,TRUE,FALSE,0
A: DSV - AD,1,580930,26,2.5,TRUE,FALSE,0
B: MTS,2,1581792,137,1.25,TRUE,FALSE,0
B: MTS,2,384594,164,1.25,TRUE,FALSE,0
B: Orbita,2,1095003,137,1.25,TRUE,FALSE,0
B: Orbita,2,304155,164,1.25,TRUE,FALSE,0
A: DSV,1,366160,66,2.5,TRUE,FALSE,0
A: FS,1,1220533,66,2.5,TRUE,FALSE,0
A: Vasiliev,1,357601,66,2.5,TRUE,FALSE,0
A: Orbita,1,16928,66,2.5,TRUE,FALSE,0
Comm: Empls,0,8694009,0.01,1,TRUE,FALSE,0
Comm: MTS,0,280138,1,1,TRUE,FALSE,0
Comm: Orbita,0,439323,1,1,TRUE,FALSE,0
Comm: Fders,0,586530,0.01,1,TRUE,FALSE,0
Options,0,629538,0.00,1,TRUE,FALSE,0
